id,source,title,author,pub-year,pub-decade,nation,genre,canonical,Multi-volume,gutenberg_url,ht_bib_key,narr-perspective,subjects,bookshelves,copyright,download_count,authors
4235,gutenberg,Dynevor Terrace,"Yonge, Charlotte",1857.0,1850-1859,English,nan,False,nan,https://www.gutenberg.org/cache/epub/4235/pg4235-images.html,nan,3rd,Cousins -- Fiction; Domestic fiction; English fiction -- 19th century; Upper class -- England -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,161,"Yonge, Charlotte M. (Charlotte Mary) (1823-1901)"
59144,gutenberg,The Master of Greylands,"Wood, Ellen",1872.0,1870-1879,English,nan,False,nan,https://www.gutenberg.org/cache/epub/59144/pg59144-images.html,nan,3rd,English fiction -- 19th century; Inheritance and succession -- Fiction; Mystery fiction; Smugglers -- Fiction,Browsing: Crime/Mystery; Browsing: Fiction; Browsing: Literature,False,230,"Wood, Henry, Mrs. (1814-1887)"
58288,gutenberg,Bessy Rane,"Wood, Ellen",1870.0,1870-1879,English,nan,False,nan,https://www.gutenberg.org/cache/epub/58288/pg58288-images.html,nan,3rd,English fiction -- 19th century,Browsing: Fiction; Browsing: Literature,False,180,"Wood, Henry, Mrs. (1814-1887)"
39519,gutenberg,Agincourt,"James, George Payne Rainsford",1844.0,1840-1849,English,nan,False,nan,https://www.gutenberg.org/cache/epub/39519/pg39519-images.html,nan,3rd,"Agincourt, Battle of, Agincourt, France, 1415 -- Fiction",Browsing: Fiction; Browsing: History - Warfare; Browsing: Literature,False,299,"James, G. P. R. (George Payne Rainsford) (None-1860)"
umn.31951002400749b,hathi,Cradock Nowell,"Blackmore, R.D.",1866.0,1860-1869,English,nan,False,nan,nan,12349854.0,3rd,,,,,
4267,gutenberg,Abbeychurch,"Yonge, Charlotte",1844.0,1840-1849,English,nan,False,nan,https://www.gutenberg.org/cache/epub/4267/pg4267-images.html,nan,3rd,English fiction -- 19th century; Religious fiction,Browsing: Fiction; Browsing: Literature; Browsing: Religion/Spirituality/Paranormal,False,159,"Yonge, Charlotte M. (Charlotte Mary) (1823-1901)"
3322,gutenberg,East Lynne,"Wood, Ellen",1861.0,1860-1869,English,nan,False,nan,https://www.gutenberg.org/cache/epub/3322/pg3322-images.html,nan,3rd,Accident victims -- Fiction; Domestic fiction; England -- Fiction; France -- Fiction; Governesses -- Fiction; Illegitimate children -- Fiction; Psychological fiction; Runaway wives -- Fiction; Seduction -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,439,"Wood, Henry, Mrs. (1814-1887)"
52388,gutenberg,Whiteladies,"Oliphant, Margaret",1875.0,1870-1879,Scottish,nan,False,nan,https://www.gutenberg.org/cache/epub/52388/pg52388-images.html,nan,3rd,Inheritance and succession -- Fiction; London (England) -- Fiction; Man-woman relationships -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,244,"Oliphant, Mrs. (Margaret) (1828-1897)"
1828,gutenberg,Chronicles of the Canongate,"Scott, Walter",1827.0,1820-1829,Scottish,nan,True,nan,https://www.gutenberg.org/cache/epub/1828/pg1828-images.html,nan,3rd,Scotland -- Social life and customs -- Fiction; Scots -- Foreign countries -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,436,"Scott, Walter (1771-1832)"
1473,gutenberg,The Absentee,"Edgeworth, Maria",1812.0,1810-1819,Anglo-Irish,nan,True,nan,https://www.gutenberg.org/cache/epub/1473/pg1473-images.html,nan,3rd,Absentee landlordism -- Fiction; Administration of estates -- Fiction; British -- Ireland -- Fiction; Domestic fiction; Ireland -- Fiction; Landowners -- Fiction; Satire; Socialites -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,205,"Edgeworth, Maria (1768-1849)"
21550,gutenberg,The King's Own,"Marryat, Frederick",1830.0,1830-1839,English,nan,False,nan,https://www.gutenberg.org/cache/epub/21550/pg21550-images.html,nan,3rd,"Great Britain -- History, Naval -- 18th century -- Fiction; Nore Mutiny, 1797 -- Fiction",Browsing: Fiction; Browsing: History - British,False,143,"Marryat, Frederick (1792-1848)"
6688,gutenberg,The Mill on the Floss,"Eliot, George",1860.0,1860-1869,English,nan,True,nan,https://www.gutenberg.org/cache/epub/6688/pg6688-images.html,nan,3rd,Conflict of generations -- Fiction; Domestic fiction; England -- Fiction; Loss (Psychology) -- Fiction; Love stories; Psychological fiction; Siblings -- Fiction; Vendetta -- Fiction; Water mills -- Fiction; Young women -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature; Harvard Classics,False,2205,"Eliot, George (1819-1880)"
507,gutenberg,Adam Bede,"Eliot, George",1859.0,1850-1859,English,nan,True,nan,https://www.gutenberg.org/cache/epub/507/pg507-images.html,nan,3rd,Carpenters -- Fiction; Didactic fiction; England -- Fiction; Illegitimate children -- Fiction; Infanticide -- Fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Women clergy -- Fiction,Banned Books from Anne Haight's list; Browsing: Fiction; Browsing: History - British; Browsing: Literature; Historical Fiction,False,1470,"Eliot, George (1819-1880)"
41339,gutenberg,Mount Royal,"Braddon, Mary Elizabeth",1882.0,1880-1889,English,nan,True,nan,https://www.gutenberg.org/cache/epub/41339/pg41339-images.html,nan,3rd,Fiction,Browsing: Fiction; Browsing: Literature,False,139,"Braddon, M. E. (Mary Elizabeth) (1835-1915)"
35786,gutenberg,She's All the World to Me,"Caine, Hall",1885.0,1880-1889,English,nan,False,nan,https://www.gutenberg.org/cache/epub/35786pg-35786images.html,nan,3rd,Isle of Man -- Fiction,Browsing: Fiction; Browsing: Literature; Browsing: Travel & Geography,False,112,"Caine, Hall, Sir (1853-1931)"
35296,gutenberg,Sir Brook Fossbrooke,"Lever, Charles",1856.0,1850-1859,Irish,nan,False,nan,https://www.gutenberg.org/cache/epub/32561/pg32561-images.html,nan,3rd,Fiction,Browsing: Fiction; Browsing: Literature,False,225,"Lever, Charles James (1806-1872)"
13276,gutenberg,The Mission,"Marryat, Frederick",1845.0,1840-1849,English,nan,False,nan,https://www.gutenberg.org/cache/epub/13276/pg13276-images.html,nan,3rd,Adventure stories; Africa -- Fiction,Browsing: Fiction; Browsing: Literature; Browsing: Travel & Geography,False,189,"Marryat, Frederick (1792-1848)"
"njp.32101037977582 (v.1-2), njp.32101037977574 (v.3-4)",hathi,The Libertine,"Dacre, Charlotte",1807.0,1800-1809,English,nan,False,4.0,nan,8889025.0,3rd,,,,,
45038,gutenberg,Perlycross,"Blackmore, R.D.",1894.0,1890-1899,English,nan,False,nan,https://www.gutenberg.org/cache/epub/45038/pg45038-images.html,nan,3rd,Detective and mystery stories; Devon (England) -- Fiction; England -- Social life and customs -- 19th century -- Fiction; Romance fiction,Browsing: Crime/Mystery; Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,298,"Blackmore, R. D. (Richard Doddridge) (1825-1900)"
59333,gutenberg,Harold's Bride,A.L.O.E.,1889.0,1880-1889,English,nan,False,nan,https://www.gutenberg.org/cache/epub/59333/pg59333-images.html,nan,3rd,India -- History -- 19th century -- Fiction; Marriage -- Fiction; Missions -- India -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: History - General; Browsing: Literature,False,203,A. L. O. E. (1821-1893)
