gutenberg_id,title,subjects,bookshelves,languages,copyright,media_type,download_count,authors,translators,summaries,formats,narr-perspective
4235,"Dynevor Terrace; Or, The Clue of Life — Volume 1",Cousins -- Fiction; Domestic fiction; English fiction -- 19th century; Upper class -- England -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,161,"Yonge, Charlotte M. (Charlotte Mary) (1823-1901)",,"""Dynevor Terrace; Or, The Clue of Life — Volume 1"" by Charlotte M. Yonge is a novel written during the late 19th century. The story unfolds around the character Charlotte Arnold, a delicate and imaginative young girl of seventeen, navigating her life in a world marked by aspirations, class distinctions, and familial relationships.   The opening of this volume introduces us to Charlotte as she interacts with Tom Madison, a rustic lad with aspirations of rising above his station. Their playful but earnest exchange reveals Charlotte's dreams and struggles with her social standing, setting the stage for the exploration of class and ambition throughout the novel. As they speak, signs of tension and social divide emerge, particularly when Charlotte expresses her desire for nobility, while Tom passionately seeks to defy the limitations imposed by their birth. Their conversation is interrupted by Mrs. Martha, whose accusations prompt Charlotte's confusion and sorrow, indicating the complexities of young love and societal expectations. This beginning establishes a rich social environment and a youthful quest for identity, making it an engaging read for those interested in character-driven narratives and historical societal dynamics. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/4235.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/4235/4235-h/4235-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/4235.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/4235.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/4235.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/4235.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/4235/pg4235.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/4235/pg4235-h.zip,3rd
59144,The Master of Greylands: A Novel,English fiction -- 19th century; Inheritance and succession -- Fiction; Mystery fiction; Smugglers -- Fiction,Browsing: Crime/Mystery; Browsing: Fiction; Browsing: Literature,en,False,Text,230,"Wood, Henry, Mrs. (1814-1887)",,"""The Master of Greylands: A Novel"" by Mrs. Henry Wood is a historical fiction narrative written in the late 19th century. The story is set in an old-fashioned town and seaside village in England, focusing mainly on the fate of Mr. Peter Castlemaine, a prosperous banker beset by financial troubles, and the dynamics within the Castlemaine family, including the lives of its members and their connections to the Grey Sisters—a pious sisterhood known for their charitable work. The narrative also intertwines the themes of inheritance and familial conflict, especially with the return of a long-lost son, Anthony Castlemaine.  The opening of the novel introduces the setting of Stilborough, a bustling market town where Peter Castlemaine, the chief banker, grapples with the alarming realization of impending financial ruin. As he sits alone, reflecting on his precarious situation, he confides in his loyal clerk, Thomas Hill, about his dangerous decisions regarding mortgaged bonds that could lead to his downfall. The tension heightens as Peter’s brother, James Castlemaine, is mentioned alongside the mysterious fate of their estranged brother, Basil, who left for foreign shores decades ago. The scene sets a tone of dread and foreshadowing, suggesting that Peter’s troubles are linked not only to his business dealings but also to deep-rooted family issues, hinting at an impending climax involving loyalty, treachery, and inheritance. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/59144.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/59144/59144-h/59144-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/59144.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/59144.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/59144.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/59144/59144-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/59144.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/59144/pg59144.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/59144/pg59144-h.zip,3rd
58288,Bessy Rane: A Novel,English fiction -- 19th century,Browsing: Fiction; Browsing: Literature,en,False,Text,180,"Wood, Henry, Mrs. (1814-1887)",,"""Bessy Rane: A Novel"" by Mrs. Henry Wood is a fictional narrative written in the late 19th century. The story revolves around Dr. Oliver Rane, a medical practitioner who is called to attend to a young man named Edmund North, who falls critically ill after receiving an anonymous letter revealing damaging information about him. The narrative explores themes of mystery, societal scrutiny, and personal tragedy, while introducing a range of characters, particularly Bessy North, who is intertwined in the unfolding drama surrounding her family.  At the start of the novel, the intensity of the night adds to the urgency as Dr. Rane rushes to Dallory Hall after hearing about Edmund North's condition. Delving into the backstory, we learn about the anonymous letter that has sparked a fierce confrontation between Edmund and his family's trusted surgeon, Mr. Alexander. This altercation leads to Edmund's collapse, raising questions about the implications of the letter's contents and the motivations behind its writing. As Dr. Rane navigates the complexities of his professional responsibilities and his personal ties to the North family, the opening establishes a tense atmosphere filled with intrigue, setting the stage for the unfolding of relationships and secrets that define the characters' fates. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/58288.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/58288/58288-h/58288-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/58288.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/58288.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/58288.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/58288/58288-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/58288.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/58288/pg58288.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/58288/pg58288-h.zip,3rd
39519,"Agincourt: A Romance: The Works of G. P. R. James, Volume XX","Agincourt, Battle of, Agincourt, France, 1415 -- Fiction",Browsing: Fiction; Browsing: History - Warfare; Browsing: Literature,en,False,Text,299,"James, G. P. R. (George Payne Rainsford) (None-1860)",,"""Agincourt: A Romance"" by G. P. R. James is a historical novel written in the mid-19th century. The story unfolds during a tumultuous time, focusing on characters entwined in themes of chivalry, love, and conflict, set against the dramatic backdrop of England's past. The narrative introduces Richard of Woodville, a young squire, and Hal of Hadnock, a mysterious traveler, as they embark on a journey filled with intrigue and adventure.  At the start of the book, the reader is introduced to a dark and mysterious night ride, where Richard of Woodville encounters a stranger, Hal of Hadnock, while traveling through a remote area. Their conversation reveals a light-hearted camaraderie, punctuated by deeper musings on love and life's challenges. As they ride together, they explore themes of friendship, personal aspirations, and the burdens of unrequited love. However, the tone shifts dramatically with the shocking discovery that Catherine Beauchamp—a member of Richard's family—has met a tragic fate, underscoring the darker undercurrents of the narrative and setting the stage for further developments in the plot. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/39519.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/39519/39519-h/39519-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/39519.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/39519.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/39519.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/39519/39519-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/39519.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/39519/pg39519.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/39519/pg39519-h.zip,3rd
4267,"Abbeychurch; Or, Self-Control and Self-Conceit",English fiction -- 19th century; Religious fiction,Browsing: Fiction; Browsing: Literature; Browsing: Religion/Spirituality/Paranormal,en,False,Text,159,"Yonge, Charlotte M. (Charlotte Mary) (1823-1901)",,"""Abbeychurch; Or, Self-Control and Self-Conceit"" by Charlotte M. Yonge is a novel written during the late 19th century. The story revolves around the Woodbourne sisters—Elizabeth, Helen, and Katherine—as they prepare for the consecration of a new church in their town, Abbeychurch. Themes of family dynamics, personal responsibilities, and societal expectations are explored through the interactions of the sisters as they navigate relationships and their duties amidst the upcoming ecclesiastical event.  At the start of the novel, the Woodbourne sisters are introduced, each with distinct personalities and perspectives. As they discuss the preparations for the church consecration, their contrasting views are highlighted, particularly between the practical and duty-oriented Katherine, the more serious and contemplative Helen, and the spirited and lively Elizabeth. Their conversations reveal familial bonds and the challenges they face with relatives like Mrs. Hazleby, whose arrival threatens to disrupt their harmony. The opening scenes lay the groundwork for the impending festivities while hinting at personal conflicts and societal pressures that will be explored throughout the narrative. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/4267.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/4267/4267-h/4267-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/4267.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/4267.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/4267.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/4267/4267-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/4267.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/4267/pg4267.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/4267/pg4267-h.zip,3rd
3322,East Lynne,Accident victims -- Fiction; Domestic fiction; England -- Fiction; France -- Fiction; Governesses -- Fiction; Illegitimate children -- Fiction; Psychological fiction; Runaway wives -- Fiction; Seduction -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,439,"Wood, Henry, Mrs. (1814-1887)",,"""East Lynne"" by Mrs. Henry Wood is a dramatic novel written during the mid-19th century. The story opens with the character of William, Earl of Mount Severn, who is portrayed as a once-fortunate man now trapped in a life of debt and regret, reflecting on his past mistakes and the loss of his wife, the Countess. Alongside this, we are introduced to his daughter, the beautiful Lady Isabel, who foreshadows her own tumultuous journey as her father's financial troubles begin to entangle their lives.  The opening of ""East Lynne"" presents a vivid scene in the Earl's library, where his insecurities and thoughts of the past are revealed. As he contemplates his history of recklessness and the absence of a male heir, a visitor named Mr. Carlyle arrives, seeking to purchase the estate of East Lynne under confidential terms due to the Earl's malaise of debts. Meanwhile, Lady Isabel is introduced as a beautiful and kind-hearted girl, and the narrative begins to weave together themes of love, social status, and moral choices that hint at the trials she will face. The serene domestic setting swiftly contrasts with the underlying tensions, suggesting a looming crisis that will affect the lives of both the Earl and Lady Isabel. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/3322.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/3322/3322-h/3322-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/3322.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/3322.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/3322.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/3322/3322-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/3322.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/3322/pg3322.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/3322/pg3322-h.zip,3rd
52388,Whiteladies,Inheritance and succession -- Fiction; London (England) -- Fiction; Man-woman relationships -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,244,"Oliphant, Mrs. (Margaret) (1828-1897)",,"""Whiteladies"" by Mrs. Oliphant is a novel written in the late 19th century. The narrative centers around the Austin sisters, Miss Susan and Miss Augustine, who inhabit an ancestral manor that carries the weight of an unfortunate family history. The story explores themes of family legacy, personal sacrifice, and contrasting perspectives on duty and charity as the sisters navigate their intertwined lives amid impending change.  The opening of ""Whiteladies"" introduces readers to the rich and decaying setting of the Austin manor, where Miss Susan Austin knits in a shaded porch on a hot July day, reflecting on her family’s troubled legacy. The chapter reveals hints of familial tensions, particularly around the fate of their home, which is burdened by inheritance issues following the illness of their nephew, Herbert. As their lives intersect with that of the Farrel-Austin family—an adversary in their struggle for the estate—the sisters' individual personalities start to emerge. Miss Susan is pragmatic and grounded, while Miss Augustine is more idealistic and focused on charitable works, setting the stage for a complex exploration of their differing responses to adversity. The narrative leaves readers with a sense of impending conflict tied to family duty and the inevitable changes to come. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/52388.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/52388/52388-h/52388-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/52388.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/52388.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/52388.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/52388/52388-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/52388.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/52388/pg52388.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/52388/pg52388-h.zip,3rd
1828,"Chronicles of the Canongate, 1st Series",Scotland -- Social life and customs -- Fiction; Scots -- Foreign countries -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,436,"Scott, Walter (1771-1832)",,"""Chronicles of the Canongate, 1st Series"" by Sir Walter Scott is a collection of narratives written in the early 19th century. The work, while framed as fictional tales, delves into Scottish history and folklore, highlighting various characters and their stories, likely aiming to capture the spirit and traditions of Scotland.  At the start of this volume, readers are introduced to Mr. Chrystal Croftangry, a Scottish gentleman who recounts his life and misadventures, setting a reflective and autobiographical tone for the stories to follow. His musings reveal a past filled with folly and financial troubles, along with a deep appreciation for the richness of Scottish culture and society. The introduction explores themes of identity, community, and the author's relationship with his own literary history while hinting at the tales that will capture both historical and contemporary aspects of Scottish life. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/1828.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/1828/1828-h/1828-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/1828.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/1828.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/1828.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/1828/1828-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/1828.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/1828/pg1828.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/1828/pg1828-h.zip,3rd
1473,The Absentee,Absentee landlordism -- Fiction; Administration of estates -- Fiction; British -- Ireland -- Fiction; Domestic fiction; Ireland -- Fiction; Landowners -- Fiction; Satire; Socialites -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,205,"Edgeworth, Maria (1768-1849)",,"""The Absentee"" by Maria Edgeworth is a novel written in the early 19th century, reflecting the cultural and social norms of its time. The story explores the lives of Irish landlords residing in England, particularly focusing on the clashing identities and challenges faced by those, like Lady Clonbrony, who seek acceptance in English high society while neglecting their responsibilities in Ireland. The narrative centers around characters like Lord Colambre, Lady Clonbrony, and the heiress Miss Broadhurst, whose relationships and personal dilemmas provide a rich commentary on societal expectations and the concept of duty.  At the start of the novel, a conversation at the opera introduces Lady Clonbrony and her family's struggles, positioning them as Irish absentees who are trying to navigate the complexities of London high society. Through Lady Langdale and Mrs. Dareville’s dialogue, we learn of Lady Clonbrony's efforts to assimilate, which are marred by the ridicule she faces for her accent and manners. Lord Colambre, her son, begins to contemplate his family's situation with a growing sense of responsibility, leading him on a journey back to Ireland to confront the reality of his family's estate and the lives affected by their absentee status. The opening chapters set the stage for the unfolding drama of social aspirations, personal identity, and the pursuit of belonging against a backdrop of class distinctions and familial duty. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/1473.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/1473/1473-h/1473-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/1473.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/1473.kf8.images; text/plain=https://www.gutenberg.org/ebooks/1473.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/1473.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/1473/pg1473.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/1473/pg1473-h.zip,3rd
21550,The King's Own,"Great Britain -- History, Naval -- 18th century -- Fiction; Nore Mutiny, 1797 -- Fiction",Browsing: Fiction; Browsing: History - British,en,False,Text,143,"Marryat, Frederick (1792-1848)",,"""The King's Own"" by Frederick Marryat is a historical novel written in the early 19th century. Set against the backdrop of naval conflict and mutiny, it delves into themes of injustice, loyalty, and the harsh realities faced by sailors in the British Navy. The narrative primarily revolves around Edward Peters, a talented and respected sailor who becomes embroiled in a mutiny—a result of personal grievances and broader socio-political circumstances.  The opening of the novel introduces the significant historical event of the Mutiny at the Nore, where sailors, feeling neglected and oppressed, turn against their own commanders. Edward Peters, initially a promising young man, faces wrongful accusations that lead to his degradation and eventual mutiny leadership. The narrative conveys the complexity of human emotions, the struggle for dignity, and the dire consequences of rebellion. As the events unfold, Peters’ plight becomes crucial to understanding the motivations behind the unrest and the personal turmoil that emerges from the conflict. This sets the stage for a tale steeped in drama and moral ambiguity as fate intertwines with the historical narrative. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/21550.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/21550/21550-h/21550-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/21550.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/21550.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/21550.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/21550.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/21550/pg21550.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/21550/pg21550-h.zip,3rd
