title,label,name_sequence,name_switch_ratio
5490_The_Emperor___Volume_08,novel,"['Arsinoe', 'The', 'The', 'Project']",0.6666666666666666
73973_A_bankrupt_heart__Vol__2__of_3_,novel,"['Project', 'Project']",0.0
The_Beckoning_Hand__and_Other_Stories_38531,short story collection,['The'],0.0
54418_Mr__Wycherly_s_Wards,novel,['Jane'],0.0
22437_The_Price_of_Love,novel,"['August', 'Project', 'Project', 'Project']",0.3333333333333333
Lord_Arthur_Savile_s_Crime_and_Other_Stories_773,short story collection,"['Podgers', 'The', 'Arthur', 'Arthur', 'Arthur', 'Lady', 'Otis', 'The', 'The', 'The', 'Virginia', 'Otis', 'Hughie', 'Cyril', 'Shakespeare', 'Project']",0.7333333333333333
55166_The_Unjust_Steward__or__The_Minister_s_Debt,novel,"['None', 'Rodie', 'Buchanan', 'Buchanan', 'Buchanan', 'Elsie', 'Elsie', 'Elsie', 'Buchanan', 'Elsie', 'Rodie', 'Buchanan', 'Mrs', 'Buchanan', 'Frank', 'Frank', 'Elsie', 'Elsie', 'Johnny', 'She', 'Frank', 'Elsie', 'Morrison', 'Elsie']",0.7391304347826086
57947_In_the_Dead_of_Night__A_Novel__Volume_3__of_3_,novel,"['Squire', 'Kester', 'Squire', 'Squire', 'Janvard', 'Tom', 'Tom', 'Kester', 'Lionel', 'Squire', 'Kester', 'Project']",0.8181818181818182
1244_Love_for_Love__A_Comedy,novel,"['But', 'Project', 'Project']",0.5
The_House_of_Cobwebs_and_Other_Stories_11603,short story collection,"['Starkey', 'Starkey', 'Starkey', 'Project']",0.3333333333333333
Little_Saint_Elizabeth_and_Other_Stories_10466,short story collection,"['Little', 'What', 'She', 'Stories', 'Fairyfoot', 'Fairyfoot', 'Princess', 'The', 'Jem', 'Project', 'Project']",0.8
In_Bad_Company__and_Other_Stories_51314,short story collection,['The'],0.0
27445_Love_of_Brothers,novel,"['Patsy', 'Patsy', 'Patsy', 'She', 'Susan', 'She', 'Eileen', 'Eileen', 'She', 'Mrs', 'Terry', 'Eileen', 'Eileen', 'Gara', 'Eileen', 'She', 'She', 'She', 'Stella', 'She', 'She', 'Patsy', 'She', 'She', 'She', 'Mrs', 'Mrs', 'You', 'Project']",0.6428571428571429
