title,label,name_sequence,name_switch_ratio
15976_Puck_of_Pook_s_Hill,novel,"['Dan', 'Oak', 'Hugh', 'Witta', 'Aquila', 'Una', 'Wall', 'Mithras', 'Maximus', 'Hobden', 'Marsh', 'King', 'License', 'Foundation']",1.0
21612_A_Child_of_the_Glens__or__Elsie_s_Fortunes,novel,"['Michael', 'Jim', 'Hendrick', 'Elsie', 'Hendrick', 'Elsie', 'Elsie', 'Jim', 'Lady', 'Elsie']",0.8888888888888888
In_the_Wrong_Paradise_and_Other_Stories_13984,short story collection,['Gladstone'],0.0
49075_Alice_Lorraine__A_Tale_of_the_South_Downs,novel,"['Here', 'Roland', 'Sir', 'Alice', 'Agasicles', 'England', 'Artemise', 'Alice', 'Alice', 'Bonny', 'Hilary', 'John', 'Hilary', 'Hilary', 'Mabel', 'Hilary', 'Lorraine', 'Hilary', 'Alice', 'Roland', 'Roland', 'Roland', 'Bonny', 'Hilary', 'Nanny', 'Roland', 'Maggie', 'Mabel', 'Hilary', 'Sir', 'Roland', 'Alice', 'Bonny', 'Hilary', 'John', 'Roland', 'Alice', 'Hilary', 'Hilary', 'Hilary', 'Claudia', 'Alice', 'Gregory', 'Mabel', 'Hilary', 'Your', 'Hilary', 'Martin', 'Hilary', 'Hilary', 'Nickles', 'Lorraine', 'Hilary', 'Bonny', 'Rector', 'Sir', 'Alice', 'Hilary', 'Alice', 'Sir', 'Sir', 'Steenie', 'Mabel', 'Alice', 'Rector', 'Alice', 'Colonel', 'Alice', 'Bottler', 'Mabel', 'Sir', 'Mrs', 'Alice', 'Colonel', 'Alice', 'Alice', 'Hilary', 'Lovejoy']",0.8831168831168831
Traditions_and_Hearthside_Stories_of_West_Cornwall_41761,short story collection,"['License', 'Foundation']",1.0
5542_A_Thorny_Path___Complete,novel,"['Melissa', 'Then', 'Melissa', 'Alexander', 'Melissa', 'Heron', 'Andreas', 'Melissa', 'Melissa', 'Agatha', 'Melissa', 'Melissa', 'Melissa', 'Philip', 'Melissa', 'Caesar', 'Caesar', 'Caesar', 'Melissa', 'Melissa', 'Melissa', 'Melissa', 'Melissa', 'Melissa', 'Melissa', 'Melissa', 'Caesar', 'Melissa', 'Caracalla', 'Caracalla', 'Apollinaris', 'Melissa', 'Andreas', 'Caesar', 'Melissa']",0.6176470588235294
The_Amateur_Cracksman_20592,short story collection,"['October', 'This', 'License', 'Foundation']",1.0
Little_Tora_the_Swedish_Schoolmistress_and_Other_Stories_22195,short story collection,"['Tora', 'Tora', 'Nils', 'Nils', 'Tora', 'There', 'Marget', 'There', 'Karin', 'Karin', 'There', 'Alf', 'There', 'Johanson', 'Johanson', 'Johanson', 'Johanson', 'Christmas', 'Foundation']",0.6666666666666666
Strange_Stories_38575,short story collection,"['Harry', 'License', 'Foundation']",1.0
54418_Mr__Wycherly_s_Wards,novel,['Jane'],0.0
22437_The_Price_of_Love,novel,"['August', 'This', 'License', 'Foundation']",1.0
Lord_Arthur_Savile_s_Crime_and_Other_Stories_773,short story collection,"['Podgers', 'Murder', 'Arthur', 'Arthur', 'Arthur', 'Lady', 'Otis', 'Otis', 'Otis', 'Otis', 'Virginia', 'Otis', 'Hughie', 'Cyril', 'Shakespeare', 'Foundation']",0.6666666666666666
57947_In_the_Dead_of_Night__A_Novel__Volume_3__of_3_,novel,"['Squire', 'Kester', 'Squire', 'Squire', 'Janvard', 'Tom', 'Tom', 'Kester', 'Lionel', 'Squire', 'Kester', 'Foundation']",0.8181818181818182
1244_Love_for_Love__A_Comedy,novel,"['What', 'License', 'Foundation']",1.0
The_House_of_Cobwebs_and_Other_Stories_11603,short story collection,"['Starkey', 'Starkey', 'Starkey', 'Fouracres']",0.3333333333333333
