title,author,gutenberg_id,download_url,saved_filename
The Pacha of Many Tales,Frederick Marryat,21571,https://www.gutenberg.org/ebooks/21571.txt.utf-8,The_Pacha_of_Many_Tales_21571.txt
Melchior's Dream and Other Tales,Juliana Horatia Ewing,16540,https://www.gutenberg.org/ebooks/16540.txt.utf-8,Melchior_s_Dream_and_Other_Tales_16540.txt
The Grey Woman and Other Tales,Elizabeth Cleghorn Gaskell,28636,https://www.gutenberg.org/ebooks/28636.txt.utf-8,The_Grey_Woman_and_Other_Tales_28636.txt
Moods,Louisa May Alcott,28203,https://www.gutenberg.org/ebooks/28203.txt.utf-8,Moods_28203.txt
Lotta Schmidt and Other Stories,Anthony Trollope,54424,https://www.gutenberg.org/ebooks/54424.txt.utf-8,Lotta_Schmidt_and_Other_Stories_54424.txt
The Brownies and Other Tales,Juliana Horatia Ewing,16052,https://www.gutenberg.org/ebooks/16052.txt.utf-8,The_Brownies_and_Other_Tales_16052.txt
Traditions and Hearthside Stories of West Cornwall,William Bottrell,41761,https://www.gutenberg.org/ebooks/41761.txt.utf-8,Traditions_and_Hearthside_Stories_of_West_Cornwall_41761.txt
In a Glass Darkly,J,37172,https://www.gutenberg.org/ebooks/37172.txt.utf-8,In_a_Glass_Darkly_37172.txt
"A Dog of Flanders, and Other Stories",Ouida,50032,https://www.gutenberg.org/ebooks/50032.txt.utf-8,A_Dog_of_Flanders__and_Other_Stories_50032.txt
Midnight Webs,George Manville Fenn,36875,https://www.gutenberg.org/ebooks/36875.txt.utf-8,Midnight_Webs_36875.txt
Twilight Stories,E,594,https://www.gutenberg.org/ebooks/594.txt.utf-8,Twilight_Stories_594.txt
Cobwebs from an Empty Skull,Ambrose Bierce,12793,https://www.gutenberg.org/ebooks/12793.txt.utf-8,Cobwebs_from_an_Empty_Skull_12793.txt
The Laughing Mill and Other Stories,Julian Hawthorne,41592,https://www.gutenberg.org/ebooks/41592.txt.utf-8,The_Laughing_Mill_and_Other_Stories_41592.txt
